hc_rew_vs,fam_rew_vs,dep_rew_vs,hc_pun_vs,fam_pun_vs,dep_pun_vs
3.087398063,13.5417208,4.194476448,-6.59653596,-3.721900197,1.059393104
7.683360442,-0.60001708,14.20772058,0.003768071,-14.4661721,-6.171814805
-14.82801486,-7.803649044,-22.57936994,-20.39999407,-23.13163083,-1.500467474
5.803893088,2.310243272,0.318519879,4.998676391,-8.8485519,-3.028658668
4.723548605,13.67200725,-9.323057542,-12.21345683,4.319344307,-17.01283502
21.62725494,8.363720733,-9.732716953,2.091733095,-16.89147656,-19.27076388
34.22427868,11.77307857,11.77510878,24.88898954,14.11582909,16.19914803
-20.62201054,0.840338103,2.13120278,-20.47059661,2.056486531,0.694081165
-13.81512239,-16.24678478,13.56513371,-33.49371271,-17.85436889,-11.87946317
-10.45292016,12.81894728,15.81146266,-19.36628824,-0.976387881,-0.052518375
-6.559148195,-13.62287117,-13.86641635,0.152340806,-9.809742134,-15.21357978
2.678749601,-0.091719051,10.97809559,17.99758573,-19.07297844,11.02800568
7.710090316,-6.115498911,13.2692983,-1.536762873,-13.19651555,-16.96293782
-0.532647102,10.34933161,1.717041098,-13.86028075,-26.28783295,-12.78434911
12.5535341,-4.971628105,22.30168012,4.801352038,-16.53225308,-9.01269866
-11.18308327,0.794593276,14.83365732,-7.289961356,-2.087647006,29.13078463
-2.91509214,3.612166483,-18.96790406,-15.58905153,9.50007616,-20.72765052
-22.05990258,-2.474260712,-15.47500019,-20.12425737,0.015090352,-31.92409665
5.111902985,4.534713335,13.8291818,-7.708317058,-5.813592748,11.64658299
-9.487599914,1.046696791,-1.943949204,36.0403845,2.334281713,-3.647848097
-7.310626734,1.080391604,12.635397,-13.07751044,0.368070838,-1.751333702
2.328265148,-4.804117576,-26.98175975,-7.853957779,-11.07086473,-34.26155958
4.626078154,33.60212615,4.366810289,-11.42521676,13.69417003,-21.80438416
-19.29583381,9.392578813,20.87988474,-26.68373208,1.839650715,11.54217321
10.30037255,14.74306475,21.59247577,-2.725764981,-0.122509692,9.519670828
-1.500425542,-7.556692443,-12.91164629,2.544388662,-13.8424012,-19.77643902
-14.00694491,-7.000310964,,-17.77915971,-21.15434496,
-26.91533463,0.498263032,,-43.59282831,2.079629846,
-14.8470012,-9.929886472,,-22.73140472,-9.704370478,
21.44781491,-5.244826798,,6.633879442,3.866683556,
-10.26308516,-6.689452325,,-10.94166241,-15.42452134,
-8.360144151,-15.90487383,,-14.44042285,-1.903104179,
-27.64614372,6.806586257,,-15.2580877,-0.40814242,
-5.853833698,15.26136404,,2.36500511,12.79504098,
1.810601196,-11.39083206,,2.60974524,-15.2276698,
-5.755660277,0.101363616,,1.529163456,-4.64573142,
9.634597858,-14.214787,,-0.267614061,-5.102206094,
42.42510205,8.227827457,,-1.406115915,7.667779907,
12.7984501,6.575951952,,-0.071764417,10.09490133,
-6.389994655,-44.21964031,,-0.123265712,-8.792848609,
-15.81038822,-16.40918144,,-27.85507351,-14.01022102,
4.799195243,25.66940752,,10.2012655,16.35414641,
25.33015401,-0.775605844,,13.06251824,0.79954995,
19.96098484,10.16406806,,10.45451142,1.191658745,
-17.71621903,-0.162442356,,-8.180799158,-34.10308959,
62.227709,21.29406012,,34.76699727,14.85205676,
3.161572587,6.294307787,,-8.220845032,-4.343507644,
3.163106424,23.56887994,,-1.502139319,18.09232567,
6.861337064,4.636395324,,-8.846526121,-6.205165721,
-1.688935547,-19.56238587,,-5.902472989,-25.31116127,
2.721870968,45.7782208,,0.94962795,9.132839556,
-5.854830198,-14.39563634,,-8.030039018,-31.12771192,
8.249613676,5.337216262,,-3.844487227,-7.340893372,
-10.07230414,2.629642481,,-15.00154293,-15.94119368,
-8.465444147,2.951296199,,-28.74439,-3.440534739,
-12.51760752,2.030617748,,-18.17460331,8.371274726,
-3.65254274,37.01791334,,17.85639418,21.04819279,
-2.488583456,3.194472342,,6.580172038,5.698411754,
1.856694643,,,-7.058656268,,
0.734711246,,,-13.54818135,,
